City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
238,port augusta,-32.5,137.7667,17.04,45,0,2.32,AU,1691718664
239,bontang,0.1333,117.5,27.92,73,100,4.41,ID,1691718118
240,khandyga,62.6667,135.6,25.14,32,1,2.36,RU,1691718173
241,kaya,13.0917,-1.0844,23.11,91,79,4.3,BF,1691718664
242,berdigestyakh,62.0989,126.6992,23.68,48,0,4.05,RU,1691718126
243,nar'yan-mar,67.6713,53.087,13.15,72,6,1.09,RU,1691718664
244,brookings,44.3114,-96.7984,26.0,73,75,7.72,US,1691718162
245,motueka,-41.1333,173.0167,11.17,59,14,1.65,NZ,1691718664
246,tahe,52.3333,124.7333,24.68,52,100,3.14,CN,1691718197
247,afaahiti,-17.75,-149.2833,25.93,69,100,8.24,PF,1691718113
248,eltmann,49.9667,10.6667,15.81,67,0,0.77,DE,1691718566
249,saint-pierre,-21.3393,55.4781,19.82,64,0,3.6,RE,1691718077
250,havre,49.5833,0.3333,19.0,94,20,3.6,FR,1691718665
251,robore,-18.3333,-59.75,26.6,42,0,2.18,BO,1691718665
252,gaspe,48.8334,-64.4819,14.95,100,100,1.03,CA,1691718482
253,galle,6.0367,80.217,27.2,79,95,2.44,LK,1691718665
254,nicoya,10.1483,-85.452,25.73,88,100,0.48,CR,1691718147
255,sisimiut,66.9395,-53.6735,7.95,88,100,4.61,GL,1691718103
256,al jawf,29.5,38.75,26.73,37,0,5.25,SA,1691718665
257,moncao,42.0789,-8.4808,20.29,76,0,0.96,PT,1691718665
258,padang,-0.9492,100.3543,26.03,77,51,1.62,ID,1691718168
259,alofi,-19.0595,-169.9187,28.94,74,35,3.6,NU,1691718665
260,cadale,2.7603,46.3222,24.47,82,76,8.54,SO,1691718665
261,santa ana,33.7456,-117.8678,28.58,75,75,4.63,US,1691718574
262,waingapu,-9.6567,120.2641,27.49,63,47,6.04,ID,1691718666
263,papatowai,-46.5619,169.4708,7.84,74,99,1.62,NZ,1691718666
264,vila franca do campo,37.7167,-25.4333,23.23,93,84,2.53,PT,1691718198
265,japaratuba,-10.5933,-36.9403,24.6,93,12,2.02,BR,1691718666
266,ancud,-41.8697,-73.8203,6.18,75,34,4.88,CL,1691718401
267,placer,39.0666,-120.7677,26.91,32,0,0.89,US,1691718666
268,amos,48.5669,-78.1162,12.05,97,96,2.28,CA,1691718666
269,tosontsengel,48.7567,98.2839,16.61,64,0,1.02,MN,1691718666
